document_id,relative_path,file_name,extension,area,project_name,major_folder,source_path,size_bytes,extraction_method,encoding,row_count,column_count,text_length,line_count,text_hash_sha1,text_preview,extra_json
doc_e0d0e60fe1ea09c9,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,2122,csv_full,utf-8-sig,10.0,14.0,2862,48,5c1e0573e2411c90e82bb620a5acf56d116eb7a5,"# source_path: プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv # file_name: leaderboard.csv # extension: .csv # area: プロジェクト # project_name: 医療法人社団 蒼泉会 ひがし丘総合病院 # major_folder: 04.分析 # CSVファイル: leaderboard.csv  - 行数: 10 - 列数: 14 - 区切り文字: ',' - 列名: trial_index, trial_role, improves_on, trial_goal, status, model_type, use_date_features, random_state, test_size, task_type, primary_metric, primary_value, secondary_metric, secondary_value  ## dtypes ,dtype trial_index,in","{""separator"": "","", ""cell_count"": 140, ""columns"": [""trial_index"", ""trial_role"", ""improves_on"", ""trial_goal"", ""status"", ""model_type"", ""use_date_features"", ""random_state"", ""test_size"", ""task_type"", ""primary_metric"", ""primary_value"", ""secondary_metric"", ""secondary_value""], ""csv_mode"": ""full""}"
doc_714025bfcd086b23,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/data/train.csv,68414,csv_summary_sample,utf-8-sig,1600.0,8.0,2829,102,52b7cfabb62f9fcd33d09990c83f33d54c3a8ef3,"# source_path: プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/data/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 医療法人社団 蒼泉会 ひがし丘総合病院 # major_folder: 04.分析 # CSVファイル: train.csv  - 行数: 1600 - 列数: 8 - 区切り文字: ',' - 列名: id, age, sex, bmi, children, smoker, region, charges  ## dtypes ,dtype id,int64 age,int64 sex,str bmi,float64 children,int64 smoker,str region,str charges,int64   ## 欠損数 欠損値なし、またはpandas読み込み上は欠損値なし。  ## 先頭サンプル id,age,sex,bmi,children,smoker,region","{""separator"": "","", ""cell_count"": 12800, ""columns"": [""id"", ""age"", ""sex"", ""bmi"", ""children"", ""smoker"", ""region"", ""charges""], ""csv_mode"": ""summary_sample""}"
doc_68708c847d336a37,プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv,train.csv,.csv,プロジェクト,株式会社東都人材プラットフォーム,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv,1628834,csv_summary_sample,utf-8-sig,11529.0,10.0,8395,194,a85d13feca9a443b800a3a84913f9c0afec1af94,"# source_path: プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 株式会社東都人材プラットフォーム # major_folder: 03.データ # CSVファイル: train.csv  - 行数: 11529 - 列数: 10 - 区切り文字: ',' - 列名: id, Gender, Age, Country, Education, Major, Profession, Industry, Experience, target  ## dtypes ,dtype id,str Gender,str Age,str Country,str Education,str Major,str Profession,str Industry,str Experience,str target,int64   ## 欠損数 ,missing_count Major,112 Experience,55  ","{""separator"": "","", ""cell_count"": 115290, ""columns"": [""id"", ""Gender"", ""Age"", ""Country"", ""Education"", ""Major"", ""Profession"", ""Industry"", ""Experience"", ""target""], ""csv_mode"": ""summary_sample""}"
doc_0e1137ba748ece0a,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,株式会社東都人材プラットフォーム,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/experiments/leaderboard.csv,4563,csv_full,utf-8-sig,10.0,20.0,5569,54,22564095d473088f6a0a34320760d5646b5d35bd,"# source_path: プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/experiments/leaderboard.csv # file_name: leaderboard.csv # extension: .csv # area: プロジェクト # project_name: 株式会社東都人材プラットフォーム # major_folder: 04.分析 # CSVファイル: leaderboard.csv  - 行数: 10 - 列数: 20 - 区切り文字: ',' - 列名: trial_index, trial_role, planner_stage, improves_on, trial_goal, selection_reason, change_summary, status, model_type, use_date_features, use_cyclical_time_features, random_state, test_size, split_strategy, transform_target, tas","{""separator"": "","", ""cell_count"": 200, ""columns"": [""trial_index"", ""trial_role"", ""planner_stage"", ""improves_on"", ""trial_goal"", ""selection_reason"", ""change_summary"", ""status"", ""model_type"", ""use_date_features"", ""use_cyclical_time_features"", ""random_state"", ""test_size"", ""split_strategy"", ""transform_target"", ""task_type"", ""primary_metric"", ""primary_value"", ""secondary_metric"", ""secondary_value""], ""csv_mode"": ""full""}"
doc_7902420a604106c8,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,株式会社東都人材プラットフォーム,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv,1628834,csv_summary_sample,utf-8-sig,11529.0,10.0,8415,194,f2003a73c37cc37d073e817b95837cafe0b9e696,"# source_path: プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 株式会社東都人材プラットフォーム # major_folder: 04.分析 # CSVファイル: train.csv  - 行数: 11529 - 列数: 10 - 区切り文字: ',' - 列名: id, Gender, Age, Country, Education, Major, Profession, Industry, Experience, target  ## dtypes ,dtype id,str Gender,str Age,str Country,str Education,str Major,str Profession,str Industry,str Experience,str target,int64   ## 欠損数 ,missing_count Major","{""separator"": "","", ""cell_count"": 115290, ""columns"": [""id"", ""Gender"", ""Age"", ""Country"", ""Education"", ""Major"", ""Profession"", ""Industry"", ""Experience"", ""target""], ""csv_mode"": ""summary_sample""}"
doc_5552792aa0ca3de3,プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv,train.csv,.csv,プロジェクト,株式会社青嶺不動産アセットマネジメント,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv,3970168,csv_summary_sample,utf-8-sig,37751.0,18.0,8086,183,80dba52eaa543aed077530fa986c7b52d1db80d6,"# source_path: プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 株式会社青嶺不動産アセットマネジメント # major_folder: 03.データ # CSVファイル: train.csv  - 行数: 37751 - 列数: 18 - 区切り文字: ',' - 列名: id, BOROUGH, NEIGHBORHOOD, BUILDING CLASS CATEGORY, TAX CLASS AT PRESENT, BLOCK, LOT, BUILDING CLASS AT PRESENT, ZIP CODE, RESIDENTIAL UNITS, COMMERCIAL UNITS, TOTAL UNITS, LAND SQUARE FEET, GROSS SQUARE FEET, YEAR BUILT, TAX CLASS AT TIME OF SALE, BUILDING CLASS ","{""separator"": "","", ""cell_count"": 679518, ""columns"": [""id"", ""BOROUGH"", ""NEIGHBORHOOD"", ""BUILDING CLASS CATEGORY"", ""TAX CLASS AT PRESENT"", ""BLOCK"", ""LOT"", ""BUILDING CLASS AT PRESENT"", ""ZIP CODE"", ""RESIDENTIAL UNITS"", ""COMMERCIAL UNITS"", ""TOTAL UNITS"", ""LAND SQUARE FEET"", ""GROSS SQUARE FEET"", ""YEAR BUILT"", ""TAX CLASS AT TIME OF SALE"", ""BUILDING CLASS AT TIME OF SALE"", ""SALE PRICE""], ""csv_mode"": ""summary_sample""}"
doc_2bb16ab61c92646e,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,株式会社青嶺不動産アセットマネジメント,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv,3555,csv_full,utf-8-sig,10.0,20.0,4566,54,5e16301ac57f83f3d3b95ad5c205ee863a1167fe,"# source_path: プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv # file_name: leaderboard.csv # extension: .csv # area: プロジェクト # project_name: 株式会社青嶺不動産アセットマネジメント # major_folder: 04.分析 # CSVファイル: leaderboard.csv  - 行数: 10 - 列数: 20 - 区切り文字: ',' - 列名: trial_index, trial_role, planner_stage, improves_on, trial_goal, selection_reason, change_summary, status, model_type, use_date_features, use_cyclical_time_features, random_state, test_size, split_strategy, transform_targe","{""separator"": "","", ""cell_count"": 200, ""columns"": [""trial_index"", ""trial_role"", ""planner_stage"", ""improves_on"", ""trial_goal"", ""selection_reason"", ""change_summary"", ""status"", ""model_type"", ""use_date_features"", ""use_cyclical_time_features"", ""random_state"", ""test_size"", ""split_strategy"", ""transform_target"", ""task_type"", ""primary_metric"", ""primary_value"", ""secondary_metric"", ""secondary_value""], ""csv_mode"": ""full""}"
doc_82125ed4d019a613,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv,train.csv,.csv,プロジェクト,株式会社青嶺不動産アセットマネジメント,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv,3970168,csv_summary_sample,utf-8-sig,37751.0,18.0,8106,183,fd6fdca8cd902c0b91cf833fa0c0b2e4d7f730dd,"# source_path: プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 株式会社青嶺不動産アセットマネジメント # major_folder: 04.分析 # CSVファイル: train.csv  - 行数: 37751 - 列数: 18 - 区切り文字: ',' - 列名: id, BOROUGH, NEIGHBORHOOD, BUILDING CLASS CATEGORY, TAX CLASS AT PRESENT, BLOCK, LOT, BUILDING CLASS AT PRESENT, ZIP CODE, RESIDENTIAL UNITS, COMMERCIAL UNITS, TOTAL UNITS, LAND SQUARE FEET, GROSS SQUARE FEET, YEAR BUILT, TAX CLASS AT TIME OF S","{""separator"": "","", ""cell_count"": 679518, ""columns"": [""id"", ""BOROUGH"", ""NEIGHBORHOOD"", ""BUILDING CLASS CATEGORY"", ""TAX CLASS AT PRESENT"", ""BLOCK"", ""LOT"", ""BUILDING CLASS AT PRESENT"", ""ZIP CODE"", ""RESIDENTIAL UNITS"", ""COMMERCIAL UNITS"", ""TOTAL UNITS"", ""LAND SQUARE FEET"", ""GROSS SQUARE FEET"", ""YEAR BUILT"", ""TAX CLASS AT TIME OF SALE"", ""BUILDING CLASS AT TIME OF SALE"", ""SALE PRICE""], ""csv_mode"": ""summary_sample""}"
doc_6e2805f333f811a4,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv,leaderboard.csv,.csv,プロジェクト,株式会社青潮モビリティサービス,04.分析,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv,3474,csv_full,utf-8-sig,10.0,20.0,4476,54,732de614ccdf9d8a298a60973c7af59b9aea5ac8,"# source_path: プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv # file_name: leaderboard.csv # extension: .csv # area: プロジェクト # project_name: 株式会社青潮モビリティサービス # major_folder: 04.分析 # CSVファイル: leaderboard.csv  - 行数: 10 - 列数: 20 - 区切り文字: ',' - 列名: trial_index, trial_role, planner_stage, improves_on, trial_goal, selection_reason, change_summary, status, model_type, use_date_features, use_cyclical_time_features, random_state, test_size, split_strategy, transform_target, task_","{""separator"": "","", ""cell_count"": 200, ""columns"": [""trial_index"", ""trial_role"", ""planner_stage"", ""improves_on"", ""trial_goal"", ""selection_reason"", ""change_summary"", ""status"", ""model_type"", ""use_date_features"", ""use_cyclical_time_features"", ""random_state"", ""test_size"", ""split_strategy"", ""transform_target"", ""task_type"", ""primary_metric"", ""primary_value"", ""secondary_metric"", ""secondary_value""], ""csv_mode"": ""full""}"
doc_8289b30011ebfdb4,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv,train.csv,.csv,プロジェクト,株式会社青葉バイオメディカル機器,03.データ,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv,113079,csv_summary_sample,utf-8-sig,735.0,33.0,11353,199,d736c5d7adf311d429f57248e04412e0620028e4,"# source_path: プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 株式会社青葉バイオメディカル機器 # major_folder: 03.データ # CSVファイル: train.csv  - 行数: 735 - 列数: 33 - 区切り文字: ',' - 列名: id, Age, Attrition, BusinessTravel, DailyRate, Department, DistanceFromHome, Education, EducationField, EnvironmentSatisfaction, Gender, HourlyRate, JobInvolvement, JobLevel, JobRole, JobSatisfaction, MaritalStatus, MonthlyIncome, NumCompaniesWorked, Over18, OverTime, Per","{""separator"": "","", ""cell_count"": 24255, ""columns"": [""id"", ""Age"", ""Attrition"", ""BusinessTravel"", ""DailyRate"", ""Department"", ""DistanceFromHome"", ""Education"", ""EducationField"", ""EnvironmentSatisfaction"", ""Gender"", ""HourlyRate"", ""JobInvolvement"", ""JobLevel"", ""JobRole"", ""JobSatisfaction"", ""MaritalStatus"", ""MonthlyIncome"", ""NumCompaniesWorked"", ""Over18"", ""OverTime"", ""PercentSalaryHike"", ""PerformanceRating"", ""RelationshipSatisfaction"", ""StandardHours"", ""StockOptionLevel"", ""TotalWorkingYears"", ""TrainingTimesLastYear"", ""WorkLifeBalance"", ""YearsAtCompany"", ""YearsInCurrentRole"", ""YearsSinceLastPromotion"", ""YearsWithCurrManager""], ""csv_mode"": ""summary_sample""}"
