document_id,extension,relative_path,extraction_method,size_bytes,text_length,line_count,text_length_share
doc_a7831b1e65e476d4,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/features.py,python_raw_text,13135,12985,343,0.0116
doc_ab1cf8f76179470e,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/features.py,python_raw_text,13135,12981,343,0.0116
doc_558f0524ad87a81b,.csv,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv,csv_summary_sample,113079,11373,199,0.0102
doc_8289b30011ebfdb4,.csv,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv,csv_summary_sample,113079,11353,199,0.0101
doc_7902420a604106c8,.csv,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv,csv_summary_sample,1628834,8415,194,0.0075
doc_68708c847d336a37,.csv,プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv,csv_summary_sample,1628834,8395,194,0.0075
doc_82125ed4d019a613,.csv,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv,csv_summary_sample,3970168,8106,183,0.0072
doc_5552792aa0ca3de3,.csv,プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv,csv_summary_sample,3970168,8086,183,0.0072
doc_36f301e2b52f8a47,.json,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/metrics.json,json_pretty_text,6232,7059,273,0.0063
doc_b967690960f21267,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/src/features.py,python_raw_text,6439,6448,184,0.0058
doc_a02be78e1b4315df,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/scripts/run_train.py,python_raw_text,6324,6368,163,0.0057
doc_f6d86c0ce916d60f,.csv,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv,csv_summary_sample,388974,6354,100,0.0057
doc_f0b7ce29b366c297,.csv,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv,csv_summary_sample,388974,6334,100,0.0057
doc_6d0a991eb76eb5b8,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/src/modeling.py,python_raw_text,6041,6084,152,0.0054
doc_4e1099d00a881ae1,.csv,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,csv_summary_sample,2345067,5797,166,0.0052
doc_1e6589b3cb58b1fe,.csv,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,csv_summary_sample,2345067,5777,166,0.0052
doc_24502e3ef0056698,.csv,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/experiments/leaderboard.csv,csv_full,4563,5579,54,0.005
doc_0e1137ba748ece0a,.csv,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/experiments/leaderboard.csv,csv_full,4563,5569,54,0.005
doc_2e32d4ca43675d3d,.csv,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,csv_full,4563,5568,54,0.005
doc_5361492f93699d0c,.csv,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/experiments/leaderboard.csv,csv_full,4500,5505,54,0.0049
doc_c79f81515adf28ee,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/src/features.py,python_raw_text,5448,5495,154,0.0049
doc_1cd270041a996a35,.csv,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/train.csv,csv_summary_sample,1574827,5404,135,0.0048
doc_54f7a587902566e7,.csv,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,csv_summary_sample,1574827,5384,135,0.0048
doc_aacf7f80580f34e1,.json,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/metrics.json,json_pretty_text,4385,5358,173,0.0048
doc_a0fd6f5f05b5dd58,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/src/evaluate.py,python_raw_text,5216,5272,139,0.0047
doc_6a440e8b3c08cbf4,.py,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/scripts/run_train.py,python_raw_text,5180,5233,148,0.0047
doc_f72c5e1ddb7d8121,.py,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/scripts/run_train.py,python_raw_text,5180,5229,148,0.0047
doc_3a4ec1c7b2c7c79b,.py,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/scripts/run_train.py,python_raw_text,5180,5227,148,0.0047
doc_1408e79e6e967a74,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/evaluate.py,python_raw_text,5116,5188,137,0.0046
doc_88188138ccc291b4,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/evaluate.py,python_raw_text,5116,5180,137,0.0046
doc_dddfd875bf5ef009,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/evaluate.py,python_raw_text,5116,5178,137,0.0046
doc_3be8232a867332aa,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/evaluate.py,python_raw_text,5116,5174,137,0.0046
doc_16621eff4a643323,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/src/common.py,python_raw_text,5168,5168,165,0.0046
doc_33f341fcbd1012c0,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/modeling.py,python_raw_text,5027,5105,131,0.0046
doc_d767f6662cee7116,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/modeling.py,python_raw_text,5027,5097,131,0.0046
doc_067bd64bbc7e38d8,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/modeling.py,python_raw_text,5027,5095,131,0.0046
doc_1ea2a54683bef8f1,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/modeling.py,python_raw_text,5027,5091,131,0.0045
doc_737214815983ed61,.json,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_outputs/run_summary.json,json_pretty_text,4042,4976,179,0.0044
doc_dc5b0dfe2ee237be,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/src/modeling.py,python_raw_text,4673,4740,126,0.0042
doc_2bb16ab61c92646e,.csv,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv,csv_full,3555,4566,54,0.0041
doc_3a3798293b040d44,.json,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/metrics.json,json_pretty_text,3614,4555,137,0.0041
doc_6e2805f333f811a4,.csv,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv,csv_full,3474,4476,54,0.004
doc_b126b2974232ad86,.json,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/metrics.json,json_pretty_text,3465,4464,150,0.004
doc_fad68ef3678d5e6e,.json,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/metrics.json,json_pretty_text,3194,4198,132,0.0037
doc_1e3b92117a4a8830,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/preprocess.py,python_raw_text,4002,4102,113,0.0037
doc_8bb4390c93da7553,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/preprocess.py,python_raw_text,4002,4094,113,0.0037
doc_96cf6cbaffbfb1b2,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/preprocess.py,python_raw_text,4002,4092,113,0.0037
doc_9d2929f817eac1f6,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/preprocess.py,python_raw_text,4002,4088,113,0.0037
doc_de32b7556023807d,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/src/preprocess.py,python_raw_text,4002,4088,113,0.0037
doc_f062d221f6ec0542,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/src/preprocess.py,python_raw_text,4002,4086,113,0.0036
doc_029e628a13ac2b17,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/src/evaluate.py,python_raw_text,4006,4080,119,0.0036
doc_f1b6bbe3127cf65b,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/common.py,python_raw_text,3933,3981,131,0.0036
doc_a92b3ee09d7cacc0,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/src/common.py,python_raw_text,3933,3973,131,0.0035
doc_8eeb604150f5af45,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/common.py,python_raw_text,3933,3973,131,0.0035
doc_4034b639f8483885,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/common.py,python_raw_text,3933,3971,131,0.0035
doc_61d9a6f9c6c8645b,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/common.py,python_raw_text,3933,3967,131,0.0035
doc_0ae9e1534cae15c8,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/src/common.py,python_raw_text,3933,3965,131,0.0035
doc_1e2db3541c1a0fc7,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/src/modeling.py,python_raw_text,3850,3941,110,0.0035
doc_c5a63224aed5234c,.py,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/src/common.py,python_raw_text,3867,3902,130,0.0035
doc_bc74cf24425e8fcf,.py,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/src/common.py,python_raw_text,3867,3898,130,0.0035
doc_d1a0822d781affe3,.py,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/src/common.py,python_raw_text,3867,3896,130,0.0035
doc_df42bbeed2ecd17c,.md,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/カラム説明.md,markdown_raw_text,3733,3764,81,0.0034
doc_a011439c73bf89e8,.md,プロジェクト/白峰信用リスク評価株式会社/03.データ/カラム説明.md,markdown_raw_text,3733,3744,81,0.0033
doc_ce7688021d536580,.csv,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/data/train.csv,csv_summary_sample,147606,3606,90,0.0032
doc_8647781b7515011a,.csv,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv,csv_summary_sample,147606,3586,90,0.0032
doc_5a7ff113706b34f9,.json,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/metrics.json,json_pretty_text,2886,3504,139,0.0031
doc_50640f919a8a5d95,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/src/evaluate.py,python_raw_text,3358,3454,105,0.0031
doc_0d60794bf3097db5,.py,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/src/modeling.py,python_raw_text,3311,3406,96,0.003
doc_b4455d3ad41c5d1e,.py,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/src/modeling.py,python_raw_text,3311,3404,96,0.003
doc_f09e94176f326091,.py,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/src/modeling.py,python_raw_text,3285,3391,96,0.003
doc_280b55944a8fdcb5,.py,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/src/evaluate.py,python_raw_text,3252,3344,103,0.003
doc_a1d5be6d84cfc929,.py,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/src/evaluate.py,python_raw_text,3252,3340,103,0.003
doc_8571f11d232641b4,.py,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/src/evaluate.py,python_raw_text,3252,3338,103,0.003
doc_9f239bc617336451,.json,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/configs/project_config.json,json_pretty_text,2247,3279,85,0.0029
doc_f14b6058ffa5eba6,.json,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/configs/project_config.json,json_pretty_text,2212,3235,84,0.0029
doc_3c93093dd88ecbe2,.json,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/configs/project_config.json,json_pretty_text,2212,3225,84,0.0029
doc_a5cf54d54f8294b6,.json,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/configs/project_config.json,json_pretty_text,2211,3220,84,0.0029
doc_809f5e5fa5c83651,.json,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/configs/project_config.json,json_pretty_text,2116,3137,78,0.0028
doc_ec44683818771397,.json,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/run_summary.json,json_pretty_text,1827,2875,71,0.0026
doc_e0d0e60fe1ea09c9,.csv,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/experiments/leaderboard.csv,csv_full,2122,2862,48,0.0026
doc_714025bfcd086b23,.csv,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/data/train.csv,csv_summary_sample,68414,2829,102,0.0025
doc_5d5dc7e793a9dd40,.csv,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.csv,csv_summary_sample,68414,2809,102,0.0025
doc_a9891ed1fe0130f9,.json,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_outputs/run_summary.json,json_pretty_text,1654,2701,70,0.0024
doc_7faf1ac5a7148aa4,.json,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/run_summary.json,json_pretty_text,1484,2561,60,0.0023
doc_6cd7a172d86b7d6a,.py,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/src/features.py,python_raw_text,2405,2534,66,0.0023
doc_51ea46fe3528a0fb,.py,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/src/features.py,python_raw_text,2405,2530,66,0.0023
doc_9ed171c55586048e,.py,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/src/features.py,python_raw_text,2405,2528,66,0.0023
doc_3b0fe3778942a535,.json,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_outputs/run_summary.json,json_pretty_text,1365,2438,54,0.0022
doc_ff4d3c2960613dea,.md,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/カラム説明.md,markdown_raw_text,2207,2232,7,0.002
doc_ba7de57750f121ef,.md,プロジェクト/青葉与信マネジメント株式会社/03.データ/カラム説明.md,markdown_raw_text,2207,2212,7,0.002
doc_8b481df003e4748e,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/scripts/bootstrap_env.py,python_raw_text,2017,2172,68,0.0019
doc_2b4c1246ed78e8bb,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/scripts/bootstrap_env.py,python_raw_text,2017,2164,68,0.0019
doc_f5b2b882118cf3fb,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/scripts/bootstrap_env.py,python_raw_text,2017,2164,68,0.0019
doc_def36be2f67c1601,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/scripts/bootstrap_env.py,python_raw_text,2017,2162,68,0.0019
doc_e08a36448d618de9,.py,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/scripts/bootstrap_env.py,python_raw_text,2017,2158,68,0.0019
doc_caa5129958548959,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/scripts/bootstrap_env.py,python_raw_text,2017,2158,68,0.0019
doc_526f2b9516c9e693,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/scripts/bootstrap_env.py,python_raw_text,2017,2158,68,0.0019
doc_869528c011366966,.py,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/scripts/bootstrap_env.py,python_raw_text,2017,2156,68,0.0019
doc_723496b26e60e2a4,.py,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/scripts/bootstrap_env.py,python_raw_text,2017,2154,68,0.0019
doc_4c0d5e3abbefa7f5,.py,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/scripts/bootstrap_env.py,python_raw_text,2017,2152,68,0.0019
doc_53b96cf705e65f98,.json,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/metrics.json,json_pretty_text,1642,2132,86,0.0019
doc_ae7153ef71820d71,.md,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/カラム説明.md,markdown_raw_text,2436,2049,45,0.0018
doc_a2215bebd7ed9487,.md,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/カラム説明.md,markdown_raw_text,2436,2029,45,0.0018
doc_d67cc7860e476a20,.json,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/configs/project_config.json,json_pretty_text,1379,1982,64,0.0018
doc_c139a5630f3aae7c,.md,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/README.md,markdown_raw_text,1695,1811,67,0.0016
doc_18a6035a6a517fd2,.md,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/README.md,markdown_raw_text,1671,1795,67,0.0016
doc_0aea83fdabd69982,.md,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/README.md,markdown_raw_text,1671,1785,67,0.0016
doc_164aa9454f48f2c5,.md,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/README.md,markdown_raw_text,1673,1783,67,0.0016
doc_606b52d6141fcc8a,.md,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/README.md,markdown_raw_text,1670,1780,67,0.0016
doc_026ca238800053d2,.md,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/README.md,markdown_raw_text,1669,1777,67,0.0016
doc_f9e73324bba4c52d,.csv,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,csv_full,1062,1765,44,0.0016
doc_00ebca6dbf7291ce,.csv,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,csv_full,1020,1699,43,0.0015
doc_d462e58e8efafb0a,.csv,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,csv_full,1020,1689,43,0.0015
doc_7197c125e4c9e62e,.json,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/configs/project_config.json,json_pretty_text,1204,1674,59,0.0015
doc_bc948309ee5f8e0a,.md,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/README.md,markdown_raw_text,1465,1586,62,0.0014
doc_5fc981f20ea68873,.md,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/README.md,markdown_raw_text,1469,1580,62,0.0014
doc_cbc1794a88ca5dbb,.md,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/README.md,markdown_raw_text,1458,1573,62,0.0014
doc_202faff9463ee2cb,.md,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/README.md,markdown_raw_text,1463,1572,62,0.0014
doc_523e64695b396f4c,.json,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_outputs/metrics.json,json_pretty_text,1071,1537,50,0.0014
doc_ac36b4fecdfa95d5,.ipynb,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/notebooks/01_eda.ipynb,ipynb_cells_text_limited_outputs,2742,1524,51,0.0014
doc_9e71130d67975c4c,.json,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/metrics.json,json_pretty_text,1031,1522,54,0.0014
doc_f7adbf1668cd275b,.json,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_outputs/metrics.json,json_pretty_text,1021,1485,54,0.0013
doc_171086411ab55f39,.json,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/run_summary.json,json_pretty_text,773,1382,42,0.0012
doc_ae8d5836e4aeb61b,.json,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/metrics.json,json_pretty_text,902,1374,50,0.0012
doc_e5b03481bf52b406,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/src/preprocess.py,python_raw_text,1060,1229,36,0.0011
doc_688df311bb2c5dea,.py,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/src/preprocess.py,python_raw_text,1060,1223,36,0.0011
doc_4794424aba6e74d4,.py,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/src/preprocess.py,python_raw_text,1060,1219,36,0.0011
doc_6518e7f1d4db0f14,.py,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/src/preprocess.py,python_raw_text,1060,1217,36,0.0011
doc_8df11f4415f90fc0,.md,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/カラム説明.md,markdown_raw_text,1570,1186,26,0.0011
doc_20d523b128f3d966,.md,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/カラム説明.md,markdown_raw_text,1570,1166,26,0.001
doc_61d1ffc32ebe5d8d,.md,社内管理/データアステル社内管理_決裁基準.md,markdown_raw_text,2090,1068,52,0.001
doc_4e921fadbcbe5e30,.md,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/data/カラム説明.md,markdown_raw_text,1347,1036,27,0.0009
doc_508aac1bd047366b,.md,プロジェクト/株式会社青潮モビリティサービス/03.データ/カラム説明.md,markdown_raw_text,1347,1016,27,0.0009
doc_2fa294e47f0d5790,.md,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/カラム説明.md,markdown_raw_text,1150,918,24,0.0008
doc_db086260bd79cb23,.md,プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/カラム説明.md,markdown_raw_text,1150,898,24,0.0008
doc_c3c078fc810a3695,.json,プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/configs/project_config.json,json_pretty_text,458,897,30,0.0008
doc_e487a2e9d231ca34,.py,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/eda.py,python_raw_text,695,868,26,0.0008
doc_cc15b493d8251ff9,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/eda.py,python_raw_text,695,860,26,0.0008
doc_d7ed0f9605e4c4d0,.py,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/src/eda.py,python_raw_text,695,860,26,0.0008
doc_deb9993c32cc76bf,.py,プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/eda.py,python_raw_text,695,858,26,0.0008
doc_44caa7c083f975dd,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/eda.py,python_raw_text,695,854,26,0.0008
doc_bcfb1e9c46939b11,.py,プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/src/eda.py,python_raw_text,695,854,26,0.0008
doc_fda17b8a469179b2,.py,プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/src/eda.py,python_raw_text,695,854,26,0.0008
