file_name,sheet_name,max_row,max_column,preview_rows,preview_columns,non_empty_preview_cells,formula_count_preview,styled_cell_count_preview,auto_filter_ref,freeze_panes,sheet_state,truncated,document_id,relative_path,project_name,major_folder
train.xlsx,Sheet1,48,6,48,6,163,0,1,,,visible,False,doc_784c013376c57771,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx,医療法人社団 蒼泉会 ひがし丘総合病院,03.データ
train.xlsx,Sheet2,42,6,42,6,155,0,1,,,visible,False,doc_784c013376c57771,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx,医療法人社団 蒼泉会 ひがし丘総合病院,03.データ
train.xlsx,train,1601,8,120,8,960,0,0,,,visible,True,doc_784c013376c57771,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx,医療法人社団 蒼泉会 ひがし丘総合病院,03.データ
スケジュール.xlsx,スケジュール,33,12,33,12,392,0,275,A1:L33,,visible,False,doc_b42c3a03868c7638,プロジェクト/株式会社東都人材プラットフォーム/02.計画/スケジュール.xlsx,株式会社東都人材プラットフォーム,02.計画
train.xlsx,Sheet1,2251,5,120,5,249,0,0,,,visible,True,doc_62bf4c63fcaac34f,プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx,株式会社東都人材プラットフォーム,03.データ
train.xlsx,Sheet2,1,1,1,1,0,0,0,,,visible,False,doc_62bf4c63fcaac34f,プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx,株式会社東都人材プラットフォーム,03.データ
train.xlsx,train,11530,10,120,10,1200,0,0,A1:J11530,,visible,True,doc_62bf4c63fcaac34f,プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx,株式会社東都人材プラットフォーム,03.データ
スケジュール_r1.xlsx,スケジュール,28,15,28,15,300,0,1,,A14,visible,False,doc_d57fd93782efe7e0,プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx,株式会社青嶺不動産アセットマネジメント,02.計画
スケジュール_r2.xlsx,スケジュール,26,15,26,15,300,0,346,,A8,visible,False,doc_acdb87e1dd8dc538,プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,株式会社青嶺不動産アセットマネジメント,02.計画
train.xlsx,Sheet2,22,9,22,9,67,1,1,,,visible,False,doc_91e9d27a66166438,プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.xlsx,株式会社青嶺不動産アセットマネジメント,03.データ
train.xlsx,Sheet1,37752,23,120,23,2554,476,0,A1:S37752,,visible,True,doc_91e9d27a66166438,プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.xlsx,株式会社青嶺不動産アセットマネジメント,03.データ
train.xlsx,train,37752,18,120,18,2074,0,0,A1:R37752,,visible,True,doc_91e9d27a66166438,プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.xlsx,株式会社青嶺不動産アセットマネジメント,03.データ
スケジュール.xlsx,WBSスケジュール_rev,33,13,33,13,388,0,429,A1:M33,,visible,False,doc_23316aa4fc0dc75f,プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx,株式会社青潮モビリティサービス,02.計画
スケジュール.xlsx,WBSスケジュール,33,13,33,13,388,0,429,A1:M33,,hidden,False,doc_23316aa4fc0dc75f,プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx,株式会社青潮モビリティサービス,02.計画
train.xlsx,Sheet1,1,1,1,1,0,0,0,,,visible,False,doc_8e4f4443faa59ad3,プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,株式会社青潮モビリティサービス,03.データ
train.xlsx,Sheet2,11,13,11,13,94,0,5,,,visible,False,doc_8e4f4443faa59ad3,プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,株式会社青潮モビリティサービス,03.データ
train.xlsx,Sheet3,30,25,30,25,654,0,1,,,visible,False,doc_8e4f4443faa59ad3,プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,株式会社青潮モビリティサービス,03.データ
train.xlsx,train,8646,15,120,15,1800,0,0,,,visible,True,doc_8e4f4443faa59ad3,プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,株式会社青潮モビリティサービス,03.データ
スケジュール.xlsx,WBS,25,12,25,12,283,24,144,A1:L25,A2,visible,False,doc_c85fa44d4e34232a,プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,株式会社青葉バイオメディカル機器,02.計画
スケジュール.xlsx,マイルストーン・CP,23,7,23,7,120,0,26,,,visible,False,doc_c85fa44d4e34232a,プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,株式会社青葉バイオメディカル機器,02.計画
スケジュール.xlsx,リソース配分,20,7,20,7,69,0,30,,,visible,False,doc_c85fa44d4e34232a,プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,株式会社青葉バイオメディカル機器,02.計画
train.xlsx,Pivot,88,2,88,2,172,0,0,,,visible,False,doc_f41d35c05b744024,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx,株式会社青葉バイオメディカル機器,03.データ
train.xlsx,train,736,33,120,33,3960,0,152,,,visible,True,doc_f41d35c05b744024,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx,株式会社青葉バイオメディカル機器,03.データ
スケジュール.xlsx,WBS,29,16,29,16,405,28,464,,A2,visible,False,doc_5c969b8a464a9d53,プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx,白峰信用リスク評価株式会社,02.計画
スケジュール.xlsx,マイルストーン,17,7,17,7,93,0,25,,A3,visible,False,doc_5c969b8a464a9d53,プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx,白峰信用リスク評価株式会社,02.計画
スケジュール.xlsx,リソース計画,17,5,17,5,60,0,17,,,visible,False,doc_5c969b8a464a9d53,プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx,白峰信用リスク評価株式会社,02.計画
スケジュール.xlsx,リスク・ルール,31,4,31,4,73,0,37,,,visible,False,doc_5c969b8a464a9d53,プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx,白峰信用リスク評価株式会社,02.計画
train.xlsx,Sheet5,13,5,13,5,42,0,3,,,visible,False,doc_77bf6380ca64f9f8,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,白峰信用リスク評価株式会社,03.データ
train.xlsx,Sheet3,65,65,65,60,2189,0,0,,,visible,True,doc_77bf6380ca64f9f8,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,白峰信用リスク評価株式会社,03.データ
train.xlsx,Sheet2,65,65,65,60,2189,0,0,,,hidden,True,doc_77bf6380ca64f9f8,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,白峰信用リスク評価株式会社,03.データ
train.xlsx,Sheet1,65,65,65,60,2189,59,0,,,visible,True,doc_77bf6380ca64f9f8,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,白峰信用リスク評価株式会社,03.データ
train.xlsx,train,7353,66,120,60,7080,0,0,,,visible,True,doc_77bf6380ca64f9f8,プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,白峰信用リスク評価株式会社,03.データ
スケジュール.xlsx,sheet1,25,14,25,14,317,23,182,A2:N25,A3,visible,False,doc_0ccc84492f7fdc07,プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx,青葉与信マネジメント株式会社,02.計画
スケジュール.xlsx,Sheet2,11,8,11,8,78,0,48,,,visible,False,doc_0ccc84492f7fdc07,プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx,青葉与信マネジメント株式会社,02.計画
スケジュール.xlsx,Sheet3,19,8,19,8,138,0,80,,,visible,False,doc_0ccc84492f7fdc07,プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx,青葉与信マネジメント株式会社,02.計画
train.xlsx,回帰分析,20,9,20,9,75,0,0,,,visible,False,doc_249cf01a3afcc3cd,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,青葉与信マネジメント株式会社,03.データ
train.xlsx,標準化,17501,4,120,4,480,357,0,A1:D17501,,visible,True,doc_249cf01a3afcc3cd,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,青葉与信マネジメント株式会社,03.データ
train.xlsx,抽出,17501,4,120,4,480,0,0,,,visible,True,doc_249cf01a3afcc3cd,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,青葉与信マネジメント株式会社,03.データ
train.xlsx,train,17501,10,120,10,1200,0,0,A1:J17501,,visible,True,doc_249cf01a3afcc3cd,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,青葉与信マネジメント株式会社,03.データ
