document_id,absolute_path,relative_path,file_name,extension,size_bytes,size_kb,area,project_name,major_folder
doc_791d30330f15d0c7,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\05.会議\会議録\会議録_2025-08-18.docx,プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx,会議録_2025-08-18.docx,.docx,25668,25.07,プロジェクト,株式会社東都人材プラットフォーム,05.会議
doc_188a742b46b84809,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\05.会議\会議録\会議録_2025-09-08.docx,プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-09-08.docx,会議録_2025-09-08.docx,.docx,17318,16.91,プロジェクト,株式会社東都人材プラットフォーム,05.会議
doc_de98e65a8370dafc,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\05.会議\会議録\会議録_2025-09-26.docx,プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-09-26.docx,会議録_2025-09-26.docx,.docx,18110,17.69,プロジェクト,株式会社東都人材プラットフォーム,05.会議
doc_041e36455405b2be,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\01.契約\契約書.docx,プロジェクト/株式会社青嶺不動産アセットマネジメント/01.契約/契約書.docx,契約書.docx,.docx,18761,18.32,プロジェクト,株式会社青嶺不動産アセットマネジメント,01.契約
doc_e7d33811d6032da6,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\05.会議\会議録\会議録_2025-08-06.docx,プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-08-06.docx,会議録_2025-08-06.docx,.docx,21269,20.77,プロジェクト,株式会社青嶺不動産アセットマネジメント,05.会議
doc_5ab884daf8a8440d,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\05.会議\会議録\会議録_2025-08-26.docx,プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-08-26.docx,会議録_2025-08-26.docx,.docx,23613,23.06,プロジェクト,株式会社青嶺不動産アセットマネジメント,05.会議
doc_ba854a884955041b,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\05.会議\会議録\会議録_2025-09-16.docx,プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-09-16.docx,会議録_2025-09-16.docx,.docx,18283,17.85,プロジェクト,株式会社青嶺不動産アセットマネジメント,05.会議
doc_303ddff4263c05ea,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\01.契約\契約書.docx,プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx,契約書.docx,.docx,18678,18.24,プロジェクト,株式会社青潮モビリティサービス,01.契約
doc_d1faddb0d27d9f8f,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\05.会議\会議録\会議録_2025-07-23.docx,プロジェクト/株式会社青潮モビリティサービス/05.会議/会議録/会議録_2025-07-23.docx,会議録_2025-07-23.docx,.docx,15284,14.93,プロジェクト,株式会社青潮モビリティサービス,05.会議
doc_c390a3f71ab877f8,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\05.会議\会議録\会議録_2025-08-06.docx,プロジェクト/株式会社青潮モビリティサービス/05.会議/会議録/会議録_2025-08-06.docx,会議録_2025-08-06.docx,.docx,15718,15.35,プロジェクト,株式会社青潮モビリティサービス,05.会議
doc_a188dbf76dee1c43,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\05.会議\会議録\会議録_2025-08-26.docx,プロジェクト/株式会社青潮モビリティサービス/05.会議/会議録/会議録_2025-08-26.docx,会議録_2025-08-26.docx,.docx,17386,16.98,プロジェクト,株式会社青潮モビリティサービス,05.会議
doc_691f13b4d9232103,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\05.会議\報告資料\基礎分析.docx,プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/基礎分析.docx,基礎分析.docx,.docx,22329,21.81,プロジェクト,株式会社青潮モビリティサービス,05.会議
doc_4ffdd1c2ce6afdf4,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\05.会議\報告資料\報告資料_2025-07-23.docx,プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-07-23.docx,報告資料_2025-07-23.docx,.docx,16285,15.9,プロジェクト,株式会社青潮モビリティサービス,05.会議
doc_05b7bb77af092484,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\05.会議\報告資料\報告資料_2025-08-06.docx,プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-08-06.docx,報告資料_2025-08-06.docx,.docx,23028,22.49,プロジェクト,株式会社青潮モビリティサービス,05.会議
doc_c7ab7dbfaad450d8,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\01.契約\契約書.docx,プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx,契約書.docx,.docx,18000,17.58,プロジェクト,株式会社青葉バイオメディカル機器,01.契約
doc_f91fd14cec3733ec,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\01.契約\契約書_draft.docx,プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx,契約書_draft.docx,.docx,18000,17.58,プロジェクト,株式会社青葉バイオメディカル機器,01.契約
doc_37fbd04ab80d5c08,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\05.会議\会議録\会議録_2025-06-23.docx,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/会議録/会議録_2025-06-23.docx,会議録_2025-06-23.docx,.docx,15826,15.46,プロジェクト,株式会社青葉バイオメディカル機器,05.会議
doc_4015dfd3dd4eff97,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\05.会議\会議録\会議録_2025-07-11.docx,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/会議録/会議録_2025-07-11.docx,会議録_2025-07-11.docx,.docx,16331,15.95,プロジェクト,株式会社青葉バイオメディカル機器,05.会議
doc_3d1ff46b22407dc2,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\05.会議\会議録\会議録_2025-07-25.docx,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/会議録/会議録_2025-07-25.docx,会議録_2025-07-25.docx,.docx,17876,17.46,プロジェクト,株式会社青葉バイオメディカル機器,05.会議
doc_5bad6e2838083174,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\05.会議\報告資料\報告資料_2025-06-23.docx,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/報告資料/報告資料_2025-06-23.docx,報告資料_2025-06-23.docx,.docx,17764,17.35,プロジェクト,株式会社青葉バイオメディカル機器,05.会議
doc_9845fa9ae2975daf,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\05.会議\報告資料\報告資料_2025-07-11.docx,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/報告資料/報告資料_2025-07-11.docx,報告資料_2025-07-11.docx,.docx,19898,19.43,プロジェクト,株式会社青葉バイオメディカル機器,05.会議
doc_332520f52f752433,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\白峰信用リスク評価株式会社\01.契約\契約書.docx,プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx,契約書.docx,.docx,18690,18.25,プロジェクト,白峰信用リスク評価株式会社,01.契約
doc_06d1f7ddf965caf0,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\01.契約\契約書.docx,プロジェクト/青葉与信マネジメント株式会社/01.契約/契約書.docx,契約書.docx,.docx,22060,21.54,プロジェクト,青葉与信マネジメント株式会社,01.契約
doc_142841662122fbb8,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\05.会議\報告資料\報告資料_2025-04-09.docx,プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx,報告資料_2025-04-09.docx,.docx,20766,20.28,プロジェクト,青葉与信マネジメント株式会社,05.会議
doc_e72e799addef1262,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\05.会議\報告資料\報告資料_2025-04-29.docx,プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,報告資料_2025-04-29.docx,.docx,24597,24.02,プロジェクト,青葉与信マネジメント株式会社,05.会議
doc_336ef580b9dfa1a7,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\社内管理\データアステル社内規定_パスワード導出規則.docx,社内管理/データアステル社内規定_パスワード導出規則.docx,データアステル社内規定_パスワード導出規則.docx,.docx,15492,15.13,社内管理,,データアステル社内規定_パスワード導出規則.docx
doc_54e93d29420dba60,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\社内管理\社内用語集.docx,社内管理/社内用語集.docx,社内用語集.docx,.docx,36649,35.79,社内管理,,社内用語集.docx
doc_990456cbd9fac42f,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\京橋信用ソリューションズ株式会社\05.会議\会議録\会議録_2025-10-01.pdf,プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf,会議録_2025-10-01.pdf,.pdf,719032,702.18,プロジェクト,京橋信用ソリューションズ株式会社,05.会議
doc_433231d38c884c34,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\京橋信用ソリューションズ株式会社\05.会議\会議録\会議録_2025-10-29.pdf,プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-29.pdf,会議録_2025-10-29.pdf,.pdf,768563,750.55,プロジェクト,京橋信用ソリューションズ株式会社,05.会議
doc_042b939e82555556,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\京橋信用ソリューションズ株式会社\05.会議\会議録\会議録_2025-11-11.pdf,プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-11-11.pdf,会議録_2025-11-11.pdf,.pdf,744471,727.02,プロジェクト,京橋信用ソリューションズ株式会社,05.会議
doc_29c0236eac41ef09,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\05.会議\会議録\会議録_2025-04-03.pdf,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-04-03.pdf,会議録_2025-04-03.pdf,.pdf,947558,925.35,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,05.会議
doc_454466f1ad558fae,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\05.会議\会議録\会議録_2025-04-24.pdf,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-04-24.pdf,会議録_2025-04-24.pdf,.pdf,944319,922.19,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,05.会議
doc_3c51fb63c9b62c65,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\05.会議\会議録\会議録_2025-05-15.pdf,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/会議録/会議録_2025-05-15.pdf,会議録_2025-05-15.pdf,.pdf,1179748,1152.1,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,05.会議
doc_df1c96000f621d6b,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\05.会議\報告資料\報告資料_2025-04-03.pdf,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/報告資料/報告資料_2025-04-03.pdf,報告資料_2025-04-03.pdf,.pdf,1047544,1022.99,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,05.会議
doc_f51b7e609b8a3db1,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\05.会議\報告資料\報告資料_2025-04-24.pdf,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/05.会議/報告資料/報告資料_2025-04-24.pdf,報告資料_2025-04-24.pdf,.pdf,34904854,34086.77,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,05.会議
doc_65b6a5a7efae8e56,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\06.報告書\医療法人社団 蒼樹会 みなみ野女性医療センター_最終報告.pdf,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/06.報告書/医療法人社団 蒼樹会 みなみ野女性医療センター_最終報告.pdf,医療法人社団 蒼樹会 みなみ野女性医療センター_最終報告.pdf,.pdf,2157943,2107.37,プロジェクト,医療法人社団 蒼樹会 みなみ野女性医療センター,06.報告書
doc_fe93c00aaeca3d91,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼泉会 ひがし丘総合病院\06.報告書\医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,.pdf,660166,644.69,プロジェクト,医療法人社団 蒼泉会 ひがし丘総合病院,06.報告書
doc_eb5c923bc028f7d1,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\00.提案\データサイエンス市場の未来予測.pdf,プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンス市場の未来予測.pdf,データサイエンス市場の未来予測.pdf,.pdf,2284761,2231.21,プロジェクト,株式会社東都人材プラットフォーム,00.提案
doc_63e95927f29319c9,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\05.会議\報告資料\報告資料_2025-08-18.pdf,プロジェクト/株式会社東都人材プラットフォーム/05.会議/報告資料/報告資料_2025-08-18.pdf,報告資料_2025-08-18.pdf,.pdf,40721627,39767.21,プロジェクト,株式会社東都人材プラットフォーム,05.会議
doc_34576afd0ef60dd4,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\05.会議\報告資料\報告資料_2025-09-08.pdf,プロジェクト/株式会社東都人材プラットフォーム/05.会議/報告資料/報告資料_2025-09-08.pdf,報告資料_2025-09-08.pdf,.pdf,52355497,51128.42,プロジェクト,株式会社東都人材プラットフォーム,05.会議
doc_b3d5c17b08b55a85,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\00.提案\ニューヨーク不動産市場の最新動向調査.pdf,プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/ニューヨーク不動産市場の最新動向調査.pdf,ニューヨーク不動産市場の最新動向調査.pdf,.pdf,370330,361.65,プロジェクト,株式会社青嶺不動産アセットマネジメント,00.提案
doc_72e56324bbc700a0,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\05.会議\報告資料\報告資料_2025-08-06.pdf,プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/報告資料/報告資料_2025-08-06.pdf,報告資料_2025-08-06.pdf,.pdf,534387,521.86,プロジェクト,株式会社青嶺不動産アセットマネジメント,05.会議
doc_5abbee6d3302f546,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青嶺不動産アセットマネジメント\05.会議\報告資料\報告資料_2025-08-26.pdf,プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/報告資料/報告資料_2025-08-26.pdf,報告資料_2025-08-26.pdf,.pdf,476953,465.77,プロジェクト,株式会社青嶺不動産アセットマネジメント,05.会議
doc_9af7a2be74e2fedc,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\data\raw\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\06.報告書\株式会社青潮モビリティサービス_最終報告.pdf,プロジェクト/株式会社青潮モビリティサービス/06.報告書/株式会社青潮モビリティサービス_最終報告.pdf,株式会社青潮モビリティサービス_最終報告.pdf,.pdf,1760213,1718.96,プロジェクト,株式会社青潮モビリティサービス,06.報告書
