project,source_path,row_index,task_ids,checkpoint_ids,text
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,16,,,CP ID 日付 チェックポイント名 確認内容 判定基準 ステータス
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,17,,CP1,CP1 2025-10-01 00:00:00 キックオフ完了確認 キックオフ完了、体制確定 議事録承認済み 完了
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,18,,CP2,CP2 2025-10-14 00:00:00 EDA論点確定確認 EDA完了、論点一覧確定 EDA論点一覧承認済み 完了
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,19,,CP3,CP3 2025-10-21 00:00:00 ベースライン評価妥当性確認 ベースライン結果の妥当性確認 QAレビュー完了 完了
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,20,,CP4,CP4 2025-10-29 00:00:00 中間報告承認事項確認 中間報告での承認事項確認 議事録・承認事項確定 完了
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,21,,CP5,CP5 2025-10-30 00:00:00 変更管理チェックポイント スコープ内継続可否・追加要求判定 変更要求判定記録確定 完了
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,22,,CP6,CP6 2025-11-10 00:00:00 最終QA完了確認 QA指摘反映、成果物品質確認 QAレビュー結果承認 完了
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,23,,CP7,CP7 2025-11-11 00:00:00 最終報告・納品確認 最終報告完了、成果物提出 納品記録確定 完了
京橋信用ソリューションズ株式会社,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx.sheets/会議体・チェックポイント.csv,24,,CP8,CP8 2025-11-12 00:00:00 検収結果確定確認 検収判定完了 検収記録確定 完了
医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.sheets/スケジュール管理表.csv,0,T01,CP1,1 フェーズ1:立上げ・計画確定 T01 キックオフ実施・開始合意 目的・スコープ・体制・連絡運用の合意、議事録確定 伊藤 翔太、松本 真央 2025-04-03 2025-04-03 - キックオフ議事録 MS1 キックオフ 完了 CP1:キックオフ完了。クリティカルパス上のタスク。
医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.sheets/スケジュール管理表.csv,5,T05 | T06,CP2,6 フェーズ2:データ理解・品質診断 T06 データ理解レビュー・論点確定 データ品質の主要論点確定、0値論点整理完了確認 鈴木 美咲、松本 真央 2025-04-15 2025-04-15 T05 論点一覧 MS2 週次進捗確認 完了 CP2:データ理解完了。クリティカルパス上のタスク。
医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.sheets/スケジュール管理表.csv,9,T09 | T10,CP3,10 フェーズ3:前処理・評価設計 T10 中間レビュー実施 疑似欠損対応方針、評価指標、最終報告論点の合意 伊藤 翔太、鈴木 美咲 2025-04-24 2025-04-24 T09 中間レビュー議事録 MS4 中間レビュー 完了 CP3:中間レビュー承認。クリティカルパス上のタスク。重点監視対象。
医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.sheets/スケジュール管理表.csv,10,T10 | T11,CP4,11 フェーズ4:モデル構築・比較 T11 変更管理チェックポイント 追加要望の契約内外判定、以降の作業計画確定 伊藤 翔太 2025-04-25 2025-04-25 T10 変更管理判定記録 MS5 変更管理確認 完了 CP4:変更管理CP通過。クリティカルパス上のタスク。分析方針バッファ日。
医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.sheets/スケジュール管理表.csv,16,T16 | T17,CP5,17 フェーズ6:QA・最終化・報告 T17 QAレビュー 文書整合、数値整合、品質ゲート確認 池田 直哉 2025-05-12 2025-05-13 T16 QAレビュー記録 MS8 - 完了 CP5:QAレビュー完了。クリティカルパス上のタスク。重点監視対象。
医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.sheets/スケジュール管理表.csv,18,T18 | T19,CP6,19 フェーズ6:QA・最終化・報告 T19 最終成果物提出・最終報告会 最終成果物提出、説明完了、検収対応方針合意 伊藤 翔太、鈴木 美咲、池田 直哉 2025-05-15 2025-05-15 T18 最終報告書、提出一式、最終報告会議事録 MS9 最終報告会 完了 CP6:最終成果物提出・最終報告会完了。クリティカルパス上のタスク。
医療法人社団 蒼樹会 みなみ野女性医療センター,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.sheets/スケジュール管理表.csv,19,T19 | T20,CP7,"20 フェーズ6:QA・最終化・報告 T20 請求・支払管理 最終成果物の検収完了後5営業日以内の一括支払(3,960,000円税込) 伊藤 翔太、林 さくら 2025-05-15 2025-05-22 T19 支払実行記録 MS10 - 完了 CP7:一括支払期日。非クリティカルだが重要。"
医療法人社団 蒼泉会 ひがし丘総合病院,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.sheets/WBS.csv,8,T06 | T07 | T08 | T09,,"9 フェーズ2 データ理解・基礎集計 T09 データ理解レビュー 論点整理、データ理解完了チェックポイント 藤田 彩 / 山本 彩乃 2025-07-17 2025-07-18 T06, T07, T08 論点整理メモ 完了 MS2対応。データ理解完了チェックポイント"
医療法人社団 蒼泉会 ひがし丘総合病院,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.sheets/WBS.csv,15,T14 | T16,,16 フェーズ3 モデリング・評価 T16 変更管理チェックポイント実施 追加要望の影響範囲、納期、費用影響を判定 加藤 大輔 / 宮本 恒一 2025-07-24 2025-07-24 T14 変更管理判定記録 完了 MS4対応。追加対応は時間単価ベースで別途見積
医療法人社団 蒼泉会 ひがし丘総合病院,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.sheets/マイルストーン.csv,3,,,MS4 変更管理判定完了 2025-07-24 変更管理チェックポイント 追加要望の有無、影響範囲、費用・納期影響を判定 加藤 大輔 完了
医療法人社団 蒼泉会 ひがし丘総合病院,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.sheets/リスク管理.csv,11,,,R04 追加分析要望の発生 変更管理 2025-07-24 00:00:00 変更管理チェックポイントで採否判断
株式会社東都人材プラットフォーム,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/02.計画/スケジュール.xlsx.sheets/スケジュール.csv,4,,,5 マイルストーン 4. 中間報告・変更管理・改善 MS5 変更管理チェックポイント完了 中間報告の決定事項を反映し、追加要求の影響有無を記録 佐藤 健一 2025-09-09 2025-09-09 - 完了 中間報告後判定
株式会社東都人材プラットフォーム,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/02.計画/スケジュール.xlsx.sheets/スケジュール.csv,13,T03 | T04 | T05,,"14 タスク 1. 立上げ・計画確定 T05 WBS・進捗管理台帳確定 WBS確定版、進捗管理台帳 佐藤 健一 2025-08-20 2025-08-22 T03, T04 完了 立上げ完了チェックポイント: 2025-08-22"
株式会社東都人材プラットフォーム,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/02.計画/スケジュール.xlsx.sheets/スケジュール.csv,20,T09 | T10 | T11 | T12,,"21 タスク 3. 前処理設計・初期モデル T12 中間報告資料作成 中間報告書 藤田 彩、渡辺 遥 2025-09-04 2025-09-05 T09, T10, T11 完了 中間報告資料完成チェックポイント: 2025-09-05"
株式会社東都人材プラットフォーム,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/02.計画/スケジュール.xlsx.sheets/スケジュール.csv,26,T17 | T18,,27 タスク 5. 最終化・QA・納品準備 T18 QAレビュー・整合性確認 QAレビュー記録、指摘一覧 清水 麻衣 2025-09-18 2025-09-22 T17 完了 クリティカルパス上のタスク。最終成果物ドラフト完成チェックポイント: 2025-09-19
株式会社東都人材プラットフォーム,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/02.計画/スケジュール.xlsx.sheets/スケジュール.csv,27,T18 | T19,,28 タスク 5. 最終化・QA・納品準備 T19 最終成果物一式確定 最終報告書、分析成果物一式 佐藤 健一、渡辺 遥、清水 麻衣 2025-09-22 2025-09-24 T18 完了 納品版凍結チェックポイント: 2025-09-24
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv,2,,,No. タスクID 依存タスク ステータス フェーズ タスク名 詳細・内容 クリティカルパス マイルストーン チェックポイント 成果物 開始日 終了日 担当者 備考
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv,3,T01,CP1,1 T01 - 未着手 P1 立上げ・前提固定 プロジェクトキックオフ実施 スコープ、対象データ(data\train.csv)、目的変数(SALE PRICE)、役割分担、会議運営を確認。議事メモ即日配布 ○ MS1: キックオフ完了・前提固定 CP1: キックオフ完了確認 キックオフ議事メモ 2025-08-06 00:00:00 2025-08-06 00:00:00 佐藤 健一 M01 キックオフ会議(クライアント窓口: 前田 美咲 部長)
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv,7,T02 | T04 | T05,CP2,"5 T05 T02, T04 未着手 P1 立上げ・前提固定 分析計画メモ/実施方針書作成・内部承認 カラム利用方針、品質点検観点、進め方を文書化。内部レビューで確定 MS2: 分析計画メモ/実施方針書確定 CP2: 分析計画メモ承認 分析計画メモ/実施方針書 2025-08-08 00:00:00 2025-08-12 00:00:00 藤田 彩 / 小林 直樹 2025-08-12 内部レビュー実施"
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv,10,T06 | T07 | T08,CP3,"8 T08 T06, T07 未着手 P2 データ理解・品質評価 品質課題整理と前処理ルール案作成 品質課題の整理および前処理ルール案の作成 ○ MS3: データ品質評価完了 CP3: 品質評価完了確認 前処理ルール案 2025-08-16 00:00:00 2025-08-21 00:00:00 渡辺 遥 分析バッファ: 2025-08-21〜08-22"
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv,13,T10 | T11,CP4,11 T11 T10 未着手 P3 探索的分析・中間報告 中間報告会実施 前処理ルール案、分析データセット化方針、モデリング継続条件の承認を取得 ○ MS4: 中間報告承認 CP4: 中間報告承認 中間報告議事メモ 2025-08-26 00:00:00 2025-08-26 00:00:00 佐藤 健一 / 渡辺 遥 M02 中間報告会議(クライアント窓口: 前田 美咲 部長)
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv,14,T11 | T12,CP5,12 T12 T11 未着手 P4 初期モデリング 変更管理チェックポイント1 中間報告後のスコープ・工数・納期影響を確認。追加要求の影響工数を明示 CP5: 変更管理チェックポイント1 変更管理記録 2025-08-27 00:00:00 2025-08-27 00:00:00 佐藤 健一
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv,17,T14 | T15,CP6,15 T15 T14 未着手 P4 初期モデリング モデル評価・重要特徴量整理 初期モデル評価結果、重要特徴量、制約事項の整理。立地起因の偏りをモデル解釈で確認 ○ MS5: ベースラインモデル評価完了 CP6: モデル評価完了確認 モデル評価サマリ 2025-09-03 00:00:00 2025-09-05 00:00:00 渡辺 遥 2025-09-05 週次定例実施
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv,20,T17 | T18,CP7,18 T18 T17 未着手 P5 解釈・示唆整理・最終報告準備 QAレビュー・整合性確認 成果物整合性確認、正本定義との突合、表現統一。文書間不整合チェック ○ MS6: 最終報告書ドラフト確定 CP7: 最終報告書ドラフト品質ゲート QAレビュー記録 2025-09-11 00:00:00 2025-09-12 00:00:00 小林 直樹 2025-09-12 内部品質ゲート / 変更管理CP2
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv,22,T18 | T19 | T20,CP8,"20 T20 T18, T19 未着手 P6 最終報告・検収・精算管理 最終報告会実施 最終成果物説明、承認判断材料提示 ○ MS7: 最終報告会完了 CP8: 最終報告・承認判断 最終報告書、最終報告議事メモ 2025-09-16 00:00:00 2025-09-16 00:00:00 佐藤 健一 / 渡辺 遥 / 藤田 彩 M03 最終報告会議(クライアント窓口: 前田 美咲 部長)"
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.sheets/スケジュール.csv,24,T21 | T22,CP9,"22 T22 T21 未着手 P6 最終報告・検収・精算管理 請求処理・最終一括精算管理 請求処理および最終一括精算管理。金額: 4,675,000円(税込:見積)、支払条件: 検収完了後5営業日以内 MS8: 支払処理期限 CP9: 最終一括精算支払期日 請求書、支払管理記録 2025-09-17 00:00:00 2025-09-23 00:00:00 佐藤 健一 / 管理部門 支払期日: 2025-09-23"
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.sheets/スケジュール.csv,0,T01,CP1,1.0 P1 立上げ・前提固定 T01 プロジェクトキックオフ実施 スコープ、対象データ(data\train.csv)、目的変数(SALE PRICE)、役割分担、会議運営を確認。議事メモ即日配布 佐藤 健一 2025-08-06 2025-08-06 - キックオフ議事メモ 完了 ○ MS1: キックオフ完了・前提固定 CP1: キックオフ完了確認 M01 キックオフ会議(クライアント窓口: 前田 美咲 部長)
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.sheets/スケジュール.csv,4,T02 | T04 | T05,CP2,"5.0 P1 立上げ・前提固定 T05 分析計画メモ/実施方針書作成・内部承認 カラム利用方針、品質点検観点、進め方を文書化。内部レビューで確定 藤田 彩 / 小林 直樹 2025-08-08 2025-08-12 T02, T04 分析計画メモ/実施方針書 完了 MS2: 分析計画メモ/実施方針書確定 CP2: 分析計画メモ承認 2025-08-12 内部レビュー実施"
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.sheets/スケジュール.csv,7,T06 | T07 | T08,CP3,"8.0 P2 データ理解・品質評価 T08 品質課題整理と前処理ルール案作成 品質課題の整理および前処理ルール案の作成 渡辺 遥 2025-08-16 2025-08-21 T06, T07 前処理ルール案 完了 ○ MS3: データ品質評価完了 CP3: 品質評価完了確認 分析バッファ: 2025-08-21〜08-22"
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.sheets/スケジュール.csv,10,T10 | T11,CP4,11.0 P3 探索的分析・中間報告 T11 中間報告会実施 前処理ルール案、分析データセット化方針、モデリング継続条件の承認を取得 佐藤 健一 / 渡辺 遥 2025-08-26 2025-08-26 T10 中間報告議事メモ 完了 ○ MS4: 中間報告承認 CP4: 中間報告承認 M02 中間報告会議(クライアント窓口: 前田 美咲 部長)
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.sheets/スケジュール.csv,11,T11 | T12,CP5,12.0 P4 初期モデリング T12 変更管理チェックポイント1 中間報告後のスコープ・工数・納期影響を確認。追加要求の影響工数を明示 佐藤 健一 2025-08-27 2025-08-27 T11 変更管理記録 完了 CP5: 変更管理チェックポイント1
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.sheets/スケジュール.csv,14,T14 | T15,CP6,15.0 P4 初期モデリング T15 モデル評価・重要特徴量整理 初期モデル評価結果、重要特徴量、制約事項の整理。立地起因の偏りをモデル解釈で確認 渡辺 遥 / 小林 直樹 2025-09-03 2025-09-05 T14 モデル評価サマリ 完了 ○ MS5: ベースラインモデル評価完了 CP6: モデル評価完了確認 2025-09-05 週次定例実施
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.sheets/スケジュール.csv,17,T17 | T18,CP7,18.0 P5 解釈・示唆整理・最終報告準備 T18 QAレビュー・整合性確認 成果物整合性確認、正本定義との突合、表現統一。文書間不整合チェック 小林 直樹 2025-09-11 2025-09-12 T17 QAレビュー記録 完了 ○ MS6: 最終報告書ドラフト確定 CP7: 最終報告書ドラフト品質ゲート 2025-09-12 内部品質ゲート / 変更管理CP2
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.sheets/スケジュール.csv,19,T18 | T19 | T20,CP8,"20.0 P6 最終報告・検収・精算管理 T20 最終報告会実施 最終成果物説明、承認判断材料提示 佐藤 健一 / 渡辺 遥 / 藤田 彩 2025-09-16 2025-09-16 T18, T19 最終報告書、最終報告議事メモ 完了 ○ MS7: 最終報告会完了 CP8: 最終報告・承認判断 M03 最終報告会議(クライアント窓口: 前田 美咲 部長)"
株式会社青嶺不動産アセットマネジメント,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.sheets/スケジュール.csv,21,T21 | T22,CP9,"22.0 P6 最終報告・検収・精算管理 T22 請求処理・最終一括精算管理 請求処理および最終一括精算管理。金額: 4,675,000円(税込:見積)、支払条件: 検収完了後5営業日以内 佐藤 健一 / 管理部門 2025-09-17 2025-09-23 T21 請求書、支払管理記録 完了 MS8: 支払処理期限 CP9: 最終一括精算支払期日 支払期日: 2025-09-23"
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール.csv,0,T01,CP1,1 T01 タスク 1. 立上げ・定義確認 キックオフ会議実施 キックオフ議事録、進行計画合意 伊藤 翔太 2025-07-23 2025-07-23 なし 完了 MS1: キックオフ完了 / CP1
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール.csv,6,T03 | T04 | T05 | T06,CP2,"7 MS2 マイルストーン 1. 立上げ・定義確認 データ定義・品質確認完了 定義差異確認結果整理済、前処理方針反映可能 鈴木 美咲 2025-07-29 2025-07-29 T03, T04, T05, T06 完了 CP2 / 到達条件: yr・workingday定義差異確認完了"
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール.csv,13,T10 | T11,CP3,"14 MS3 マイルストーン 2. 前処理設計・ベースライン構築 ベースライン評価完了 ベースラインモデル評価、初期可視化、改善方針案が揃っている状態 鈴木 美咲 2025-08-05 2025-08-05 T10, T11 完了 CP3"
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール.csv,15,T11 | T12,CP4,16 T12 タスク 3. 改善分析・中間報告 中間報告会実施 中間報告議事録 伊藤 翔太 2025-08-06 2025-08-06 T11 完了 MS4: 中間報告ゲート通過 / CP4 / 会議日固定
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール.csv,22,T17 | T18,CP5,23 T18 タスク 4. 示唆整理・最終報告準備 QAレビュー・整合性確認 QAレビュー結果 池田 直哉 2025-08-20 2025-08-21 T17 完了 クリティカルパス上 / CP5
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール.csv,25,T18 | T19,CP6,26 T19 タスク 5. 最終化・検収対応 変更管理チェックポイント 変更管理判定記録 伊藤 翔太 2025-08-22 2025-08-22 T18 完了 MS7 / CP6 / スコープ外要求・追加見積要否判定
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール.csv,27,T20 | T21,CP7,28 T21 タスク 5. 最終化・検収対応 最終報告・検収会実施 最終報告議事録、受領判断記録 中村 誠 2025-08-26 2025-08-26 T20 完了 MS8 / CP7 / 会議日固定 / 支払基準日
株式会社青潮モビリティサービス,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.sheets/WBSスケジュール.csv,28,T21 | T22,CP8,29 T22 タスク 5. 最終化・検収対応 指摘反映・最終成果物提出 最終報告書、補足資料、提出記録 伊藤 翔太 / 藤田 彩 2025-08-26 2025-08-27 T21 完了 MS9 / CP8 / クリティカルパス上
