raw_relative_path,status,error_type,error_message,processed_markdown_path,processed_structure_path,char_count,line_count,heading_count,quality_flags
share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/カラム説明.md.structure.json,281,11,1,
share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/README.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/README.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/README.md.structure.json,1599,61,8,
share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/カラム説明.md.structure.json,440,4,0,
share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/カラム説明.md.structure.json,440,4,0,
share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/README.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/README.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/README.md.structure.json,1624,61,8,
share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/カラム説明.md.structure.json,853,21,1,
share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/data/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/data/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/data/カラム説明.md.structure.json,853,21,1,
share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/README.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/README.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/README.md.structure.json,1598,61,8,
share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/カラム説明.md.structure.json,1865,39,1,
share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/カラム説明.md.structure.json,1865,39,1,
share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/README.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/README.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/README.md.structure.json,1602,61,8,
share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/カラム説明.md.structure.json,3586,75,2,
share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/カラム説明.md.structure.json,3586,75,2,
share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/README.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/README.md,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/README.md.structure.json,1397,56,8,
share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/カラム説明.md.structure.json,2051,1,0,
share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/カラム説明.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/カラム説明.md,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/カラム説明.md.structure.json,2051,1,0,
share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/README.md,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/README.md,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/README.md.structure.json,1403,56,8,
share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md,ok,,,data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md,data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md.structure.json,914,47,8,
