image_path,suffix,bytes,width,height,mode,priority_score
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell010_output002.png,.png,92089,1783,884,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell010_output002.png,.png,88047,1784,983,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell016_output002.png,.png,87412,925,784,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell010_output001.png,.png,84673,1483,744,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell012_output005.png,.png,62693,1184,1484,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell014_output002.png,.png,52666,1382,484,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell016_output002.png,.png,49944,1120,984,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell010_output002.png,.png,42834,983,784,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb.assets/cell010_output002.png,.png,42834,983,784,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell012_output003.png,.png,40350,1784,484,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell018_output002.png,.png,34926,1109,978,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb.assets/cell018_output002.png,.png,34926,1109,978,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell016_output002.png,.png,32988,667,584,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell017_output002.png,.png,31650,733,584,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell014_output003.png,.png,27503,1784,492,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb.assets/cell014_output003.png,.png,27503,1784,492,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell008_output002.png,.png,22437,984,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell008_output002.png,.png,22041,984,584,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell006_output002.png,.png,21210,984,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell008_output002.png,.png,17567,1184,584,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell020_output002.png,.png,16866,984,484,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb.assets/cell020_output002.png,.png,16866,984,484,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell008_output002.png,.png,16456,984,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell014_output003.png,.png,15449,584,484,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell016_output002.png,.png,15094,684,484,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb.assets/cell016_output002.png,.png,15094,684,484,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell010_output002.png,.png,14280,1183,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell014_output002.png,.png,13843,784,484,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell016_output002.png,.png,13521,784,584,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell012_output003.png,.png,13380,1784,484,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell008_output004.png,.png,13267,984,584,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell014_output003.png,.png,13152,584,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell014_output002.png,.png,12983,684,434,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell014_output003.png,.png,11663,584,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell008_output002.png,.png,11010,984,584,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell018_output002.png,.png,10911,1184,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell018_output002.png,.png,10728,984,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell018_output002.png,.png,10270,784,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell019_output001.png,.png,8997,784,284,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell012_output002.png,.png,7564,784,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell018_output002.png,.png,6881,1184,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell018_output007.png,.png,6881,1184,384,RGBA,2
data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb.assets/cell012_output002.png,.png,5503,784,284,RGBA,2
