raw_relative_path,extension,status,error_type,error_message,processed_markdown_path,processed_structure_path,row_count,sheet_count,chart_count
share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv.structure.json,11529,,
share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r1.xlsx.structure.json,,1,0
share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.structure.json,,1,0
share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv.structure.json,37751,,
share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.xlsx.structure.json,,3,0
share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/experiments/leaderboard.csv.structure.json,10,,
share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv.structure.json,37751,,
share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/02.計画/スケジュール.xlsx.structure.json,,2,0
share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.tsv,.tsv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.tsv.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.tsv.structure.json,8645,,
share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx.structure.json,,4,0
share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_outputs/experiments/leaderboard.csv.structure.json,10,,
share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/data/train.tsv,.tsv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/data/train.tsv.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/data/train.tsv.structure.json,8645,,
share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx.structure.json,,3,0
share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv.structure.json,735,,
share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx.structure.json,,2,0
share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/experiments/leaderboard.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/experiments/leaderboard.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_outputs/experiments/leaderboard.csv.structure.json,10,,
share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv.structure.json,735,,
share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/02.計画/スケジュール.xlsx.structure.json,,4,0
share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv.structure.json,7352,,
share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx.structure.json,,5,0
share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv.structure.json,10,,
share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv.structure.json,7352,,
share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx.structure.json,,3,0
share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv.structure.json,17500,,
share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,.xlsx,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx.md,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx.structure.json,,4,0
share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv.structure.json,10,,
share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/train_preview.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/train_preview.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/artifacts/analysis_outputs/train_preview.csv.structure.json,200,,
share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/train.csv,.csv,ok,,,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/train.csv.md,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/train.csv.structure.json,17500,,
